channel_id	program_original_title	program_local_title	program_release_year	start_date	start_time	duration
69043571	Jessie	Jessie	2012	20161111	06:28:00 AM	1860
69043571	A.N.T. Farm	A.N.T. Farm	2012	20161111	11:10:00 AM	1680
69043571	Disney Mickey Mouse	Disney Mickey Mouse	2013	20161111	11:38:00 AM	300
69043571	Shake It Up	Shake It Up	2011	20161111	11:43:00 AM	1860
69043571	Evermoor	Evermoor	2015	20161111	12:14:00 PM	1860
69043571	Good Luck Charlie	Good Luck Charlie	2010	20161111	12:45:00 PM	1860
69043571	Access All Areas	Access All Areas		20161111	01:16:00 PM	420
69043571	Good Luck Charlie	Good Luck Charlie	2010	20161111	01:23:00 PM	1680
69043571	Jessie	Jessie	2012	20161111	01:51:00 PM	1860
69043571	Elena of Avalor	Elena of Avalor	2016	20161111	04:29:00 PM	1860
69043571	Girl Meets World	Girl Meets World	2016	20161111	02:22:00 PM	2040
69043571	Girl Meets World	Girl Meets World	2016	20161111	02:56:00 PM	1860
69043571	Stuck in the Middle	Stuck in the Middle	2016	20161104	06:59:00 AM	1860
69043571	Miraculous: Tales of Ladybug and Cat Noir	Miraculous: Tales of Ladybug and Cat Noir	2016	20161104	06:00:00 AM	1680
69043571	The Lodge	The Lodge	2016	20161104	08:01:00 AM	1860
69043571	The Lodge	The Lodge	2016	20161104	09:06:00 AM	1860
69043571	Stuck in the Middle	Stuck in the Middle	2016	20161104	10:39:00 AM	1860
69043571	Stuck in the Middle	Stuck in the Middle	2016	20161104	11:10:00 AM	1680
69043571	Girl Meets World	Girl Meets World	2016	20161104	12:50:00 PM	1980
69043571	Girl Meets World	Girl Meets World	2015	20161104	02:22:00 PM	2040
69043571	Bunk'd	Bunk'd	2016	20161106	04:29:00 PM	1860
69043571	Sonny with a Chance	Sonny With a Chance	2010	20161107	08:08:00 PM	1800
69043571	Miraculous: Tales of Ladybug and Cat Noir	Miraculous: Tales of Ladybug and Cat Noir	2016	20161110	06:00:00 AM	1680
69043571	Stuck in the Middle	Stuck in the Middle	2016	20161110	06:59:00 AM	1860
69043571	Miraculous: Tales of Ladybug and Cat Noir	Miraculous: Tales of Ladybug and Cat Noir	2016	20161111	06:00:00 AM	1680
69043571	Stuck in the Middle	Stuck in the Middle	2016	20161111	06:59:00 AM	1860
69043571	The Lodge	The Lodge	2016	20161111	08:01:00 AM	1860
69043571	Miraculous: Tales of Ladybug and Cat Noir	Miraculous: Tales of Ladybug and Cat Noir	2016	20161111	09:06:00 AM	1860
69043571	K.C. Undercover	K.C. Undercover	2015	20161112	06:00:00 AM	1740
69043571	K.C. Undercover	K.C. Undercover	2015	20161112	06:29:00 AM	1860
69043571	Lab Rats	Lab Rats	2013	20161112	02:31:00 PM	1740
69043571	K.C. Undercover	K.C. Undercover	2015	20161113	12:31:00 PM	1740
69043571	Liv & Maddie	Liv and Maddie	2016	20161113	05:31:00 PM	1740
69043571	Liv & Maddie	Liv and Maddie	2016	20161113	06:00:00 PM	1860
69043571	Liv & Maddie	Liv and Maddie	2016	20161113	06:31:00 PM	1740
69043571	Liv & Maddie	Liv and Maddie	2016	20161113	07:00:00 PM	1740
69043571	Lab Rats	Lab Rats	2012	20161113	07:29:00 PM	1860
69043571	Lab Rats	Lab Rats	2013	20161113	08:00:00 PM	1860
69043571	Lab Rats	Lab Rats	2013	20161113	08:31:00 PM	1740
69043571	Lab Rats	Lab Rats	2013	20161113	09:00:00 PM	1860
69043571	Lab Rats	Lab Rats	2013	20161113	09:31:00 PM	1740
69043571	Violetta	Violetta	2012	20161113	10:00:00 PM	2760
69043571	Groove High	Groove High		20161113	11:35:00 PM	1500
69043571	Stuck in the Middle	Stuck in the Middle	2016	20161114	05:31:00 PM	1860
69043571	Liv & Maddie	Liv and Maddie	2016	20161115	07:30:00 AM	1860
69043571	Evermoor	Evermoor	2015	20161116	12:14:00 PM	1860
69043571	Best Friends Whenever	Best Friends Whenever	2016	20161116	05:00:00 PM	1860
69043571	Stuck in the Middle	Stuck in the Middle	2016	20161116	05:31:00 PM	1860
69043571	K.C. Undercover	K.C. Undercover	2015	20161116	03:58:00 PM	1860
69043571	Liv & Maddie	Liv and Maddie	2015	20161116	04:29:00 PM	1860
69043571	Bunk'd	Bunk'd	2016	20161116	06:02:00 PM	1860
1636306181	Chaussée d'Amour	Chaussée d'Amour		20161113	02:30:00 PM	3300
1636306181	Chaussée d'Amour	Chaussée d'Amour		20161113	03:25:00 PM	3600
1636306181	Chaussée d'Amour	Chaussée d'Amour		20161113	04:25:00 PM	3300
1636306181	Chaussée d'Amour	Chaussée d'Amour		20161113	05:20:00 PM	3300
69040374	Les Misérables	Los Miserables	2012	20161123	07:00:00 AM	9300
69040374	Boogie Nights	Boogie Nights	1997	20161123	04:25:00 AM	9300
69040374	In the Land of Blood and Honey	En tierra de sangre y miel	2011	20161123	09:35:00 AM	7500
69040374	Omoide no Mânî	El recuerdo de Marnie	2014	20161123	06:05:00 PM	6600
69040374	Un plan d'enfer	Un plan infernal		20161123	07:55:00 PM	360
69040374	Au bruit des clochettes	Al ruido de las campanillas	2016	20161123	08:01:00 PM	1560
69040374	Irrational Man	Irrational Man	2015	20161124	12:50:00 AM	5700
69040374	Miami Vice	Corrupción en Miami	2006	20161124	02:25:00 AM	7800
69040374	White Hunter, Black Heart	Cazador Blanco, Corazón Negro	1990	20161124	07:00:00 AM	6900
69040374	A cambio de nada	A cambio de nada	2015	20161124	08:55:00 AM	6000
69040374	Der Baader Meinhof Komplex	R.A.F. Facción del Ejército Rojo	2008	20161124	04:35:00 AM	8700
69040374	The Railway Man	Un largo viaje	2013	20161124	10:35:00 AM	6900
69040374	The Color of Money	El Color del Dinero	1986	20161124	12:30:00 PM	7200
69040374	The Remains of the Day	Lo que queda del día	1993	20161124	02:30:00 PM	8100
69040374	The Prestige	El truco final (El prestigio)	2006	20161124	09:00:00 PM	8100
